mode,period,UX,UY,RZ,SumUX,SumUY,SumRZ
1,0.4004919309478988,0.000175246637484604,0.8681969448535544,3.7264700939516204e-07,0.000175246637484604,0.8681969448535544,3.7264700939516204e-07
2,0.40046705174052905,0.8682041106812098,0.00017525019253503192,2.5384021031658647e-09,0.8683793573186944,0.8683721950460894,3.751854114983279e-07
3,0.3542973982644696,3.5553334733185964e-09,3.825918120731248e-07,0.8693464210991892,0.8683793608740279,0.8683725776379015,0.8693467962846008
4,0.13574109906990703,3.427848730832501e-05,0.09941816187324186,3.293633675008863e-08,0.8684136393613362,0.9677907395111434,0.8693468292209375
5,0.13573440337879772,0.09941469003287394,3.427671743657147e-05,2.3447470465556803e-10,0.9678283293942102,0.96782501622858,0.8693468294554122
6,0.12044364077412142,3.3848628638308334e-10,2.8489164915679843e-08,0.09853145895945979,0.9678283297326964,0.9678250447177449,0.967878288414872
7,0.07832710927974955,8.722420000615528e-06,0.02212971012012608,5.3073285319443575e-09,0.967837052152697,0.989954754837871,0.9678782937222006
8,0.07832440053755756,0.022127535437775462,8.721936081896402e-06,5.128203537263327e-11,0.9899645875904725,0.9899634767739529,0.9678782937734827
9,0.06965936362383802,4.569323585661566e-11,2.8443085111173252e-09,0.022123945316491745,0.9899645876361657,0.9899634796182615,0.9900022390899744
10,0.05436821401310155,3.153903525939664e-06,0.007308755527425613,8.604140435179719e-10,0.9899677415396916,0.9972722351456871,0.9900022399503885
11,0.05436714500446692,0.0073078519441966226,3.1535654183516956e-06,9.944697680343218e-12,0.9972755934838882,0.9972753887111054,0.9900022399603332
12,0.04837126939911537,4.489169054850436e-12,2.03668842155107e-10,0.007331495133000935,0.9972755934883774,0.9972753889147743,0.9973337350933341
13,0.04425725357164786,1.5057966888806471e-06,0.002723105381347609,5.0711916293681707e-11,0.9972770992850662,0.9999984942961219,0.997333735144046
14,0.04425696514014664,0.0027229007148228106,1.5057006411719845e-06,8.810789410381793e-13,0.9999999999998891,0.999999999996763,0.9973337351449271
15,0.03938230689514574,1.1086925128676181e-13,3.2368726854038097e-12,0.0026662648550730603,1.0,0.9999999999999999,1.0000000000000002
