mode,period,UX,UY,RZ,SumUX,SumUY,SumRZ
1,0.4043241769057849,0.0001755745009887615,0.8674947859786961,3.6814696057604785e-07,0.0001755745009887615,0.8674947859786961,3.6814696057604785e-07
2,0.40429900053749335,0.8675019053308002,0.00017557805687025389,2.4976661076277266e-09,0.8676774798317889,0.8676703640355664,3.706446266836756e-07
3,0.35734952226374983,3.501180900839722e-09,3.7794537032009423e-07,0.8687088964892309,0.8676774833329698,0.8676707419809367,0.8687092671338575
4,0.13688055371106267,3.43837346486662e-05,0.09982194717283555,3.2702713032637665e-08,0.8677118670676185,0.9674926891537723,0.8687092998365705
5,0.13687379030378333,0.09981850863842523,3.4381945421569e-05,2.3278999629976664e-10,0.9675303757060437,0.9675270710991939,0.8687093000693605
6,0.12136230528419015,3.3679081843756125e-10,2.833687528444688e-08,0.09889245826490237,0.9675303760428345,0.9675270994360692,0.9676017583342629
7,0.07887059193427172,8.854336225350931e-06,0.02236481120702401,5.259833474393184e-09,0.9675392303790599,0.9898919106430932,0.9676017635940963
8,0.07886787458169303,0.022362642102560143,8.85385112958047e-06,5.103393959796746e-11,0.98990187248162,0.9899007644942228,0.9676017636451303
9,0.07010404463734042,4.561479192181595e-11,2.826696039080992e-09,0.022339321472665593,0.9899018725272348,0.9899007673209188,0.9899410851177959
10,0.05455606419870651,3.162027775332134e-06,0.007361848273726451,8.490630733372311e-10,0.9899050345550101,0.9972626155946452,0.9899410859668589
11,0.05455499708840918,0.007360946034853241,3.1616908546880506e-06,9.852788843287398e-12,0.9972659805898634,0.9972657772854999,0.9899410859767117
12,0.048526082552726564,4.4222745849161036e-12,2.002950917500352e-10,0.007382450320988505,0.9972659805942856,0.997265777485795,0.9973235362977002
13,0.04428559346308928,1.5044597839480184e-06,0.0027327181457954645,4.94435617006547e-11,0.9972674850540696,0.9999984956315905,0.9973235363471438
14,0.04428530481230946,0.002732514945818338,1.504365114985103e-06,8.563741591764705e-13,0.999999999999888,0.9999999999967055,0.9973235363480002
15,0.039406289039462215,1.1224023558421125e-13,3.2945678442492883e-12,0.0026764636520000755,1.0000000000000002,1.0,1.0000000000000002
