mode,period,UX,UY,RZ,SumUX,SumUY,SumRZ
1,0.4612206609314211,0.0001920372426988833,0.8683631879129473,1.7593074862237784e-07,0.0001920372426988833,0.8683631879129473,1.7593074862237784e-07
2,0.46120156818230296,0.8683687607443418,0.00019203984611035146,1.5407102461746565e-09,0.8685607979870407,0.8685552277590577,1.774714588685525e-07
3,0.4080636812291149,2.123592800375747e-09,1.8166042641536639e-07,0.8691472838887037,0.8685608001106334,0.8685554094194841,0.8691474613601625
4,0.1587445017493703,3.906607358028313e-05,0.10000767721212148,1.4927336663121173e-08,0.8685998661842137,0.9685630866316055,0.8691474762874992
5,0.1587394873711658,0.10000484217190311,3.906471129283468e-05,1.339292588434875e-10,0.9686047083561168,0.9686021513428983,0.8691474764214285
6,0.14081100911354938,1.842367604926131e-10,1.2409879280148107e-08,0.09951299562911524,0.9686047085403535,0.9686021637527775,0.9686604720505437
7,0.09380589869843176,9.35439417709216e-06,0.021511859641698116,2.252163162645868e-09,0.9686140629345306,0.9901140233944756,0.9686604743027069
8,0.09380394932488899,0.02151017692515248,9.353949060538376e-06,2.8049720677011752e-11,0.990124239859683,0.9901233773435362,0.9686604743307565
9,0.0833388144507356,2.015310517305392e-11,9.84271746629719e-10,0.021505387530579782,0.9901242398798361,0.990123378327808,0.9901658618613363
10,0.06697423615660997,3.396452103558136e-06,0.006846126593469446,3.427536112328122e-10,0.9901276363319397,0.9969695049212773,0.9901658622040899
11,0.06697351554849997,0.006845448327807826,3.396186220810016e-06,5.011539579391749e-12,0.9969730846597475,0.9969729011074981,0.9901658622091014
12,0.05952247373299997,1.1927978733814201e-12,3.557663905542337e-11,0.00688021842665456,0.9969730846609404,0.9969729011430748,0.997046080635756
13,0.05609114064256175,1.3235663910764916e-06,0.0030257753544266647,1.6779579642510775e-11,0.9969744082273314,0.9999986764975015,0.9970460806525355
14,0.05609098699485773,0.003025591772668399,1.3235023982953374e-06,4.2025780843549707e-13,0.9999999999999998,0.9999999999998999,0.9970460806529557
15,0.04987435161196697,9.761750836282859e-18,1.0053604668279289e-13,0.002953919347043976,0.9999999999999998,1.0000000000000004,0.9999999999999998
