Mode,Period,UX,UY,RZ,SumUX,SumUY
1,0.562000,0.7853,0.0608,0.0,0.7853,0.0608
2,0.562000,0.0608,0.7853,0.0,0.8461,0.8461
3,0.517000,0.0,0.0,0.8418,0.8461,0.8461
4,0.186000,0.0924,0.0146,0.0,0.9385,0.8607
5,0.186000,0.0146,0.0924,0.0,0.9531,0.9531
6,0.170000,0.0,0.0,0.1083,0.9531,0.9531
7,0.106000,0.0224,0.0085,0.0,0.9756,0.9616
8,0.106000,0.0085,0.0224,0.0,0.984,0.984
9,0.096000,0.0,0.0,0.0327,0.984,0.984
10,0.072000,0.0014,0.0099,0.0,0.9854,0.9939
11,0.072000,0.0099,0.0014,0.0,0.9952,0.9952
12,0.065000,0.0,0.0,0.0122,0.9952,0.9952
13,0.058000,0.0038,0.0009,0.0,0.999,0.9961
14,0.058000,0.0009,0.0038,0.0,0.9999,0.9999
15,0.052000,0.0,0.0,0.0049,0.9999,0.9999
