OutputCase,CaseType,StepType,StepNumber,FX,FY,FZ,MX,MY,MZ,X,Y,Z
Dead,LinStatic,None,None,0,0,8827.6084,62504.0194,-175022.8725,0,0,0,0
Live,LinStatic,None,None,0,0,0,0,0,0,0,0,0
MODAL,LinModEigen,Mode,1,-0.2051,-0.0104,0,0.3966,-7.766,-0.9383,0,0,0
MODAL,LinModEigen,Mode,2,-0.0115,-0.2777,0,10.6278,-0.4375,-5.093,0,0,0
MODAL,LinModEigen,Mode,3,0.2238,-0.0335,0,1.2764,8.4613,-5.0549,0,0,0
MODAL,LinModEigen,Mode,4,2.7746,0.0696,0,-0.7412,21.7408,-8.073,0,0,0
MODAL,LinModEigen,Mode,5,-0.0595,3.8232,0,-36.3319,-0.3426,75.0891,0,0,0
MODAL,LinModEigen,Mode,6,-1.1588,0.0593,0,-0.3185,-9.4959,57.5755,0,0,0
MODAL,LinModEigen,Mode,7,-9.9169,-0.1031,0,0.6885,-63.2392,39.6929,0,0,0
MODAL,LinModEigen,Mode,8,0.0698,-13.4339,0,82.3154,0.4382,-263.9971,0,0,0
MODAL,LinModEigen,Mode,9,-3.5815,0.2364,0,-1.7543,-22.3339,207.2646,0,0,0
MODAL,LinModEigen,Mode,10,21.3018,0.0845,0,-0.5769,80.122,-91.7251,0,0,0
MODAL,LinModEigen,Mode,11,0.1218,28.1501,0,-110.653,0.6392,546.9501,0,0,0
MODAL,LinModEigen,Mode,12,-7.3926,1.0675,0,-4.3646,-27.426,455.1386,0,0,0
PP,LinStatic,None,None,0,0,8827.6084,62504.0194,-175022.8725,0,0,0,0
TERP,LinStatic,None,None,0,0,1251.4547,8543.3308,-24767.5684,0,0,0,0
TERT,LinStatic,None,None,0,0,47.0472,321.1779,-931.1116,0,0,0,0
SCP,LinStatic,None,None,0,0,2234.7405,15255.9479,-44227.8007,0,0,0,0
SCT,LinStatic,None,None,0,0,47.0472,321.1779,-931.1116,0,0,0,0
SEx,LinRespSpec,Max,None,740.7709,45.1295,0,1687.4335,24002.2208,7640.3131,0,0,0
SEy,LinRespSpec,Max,None,42.4518,740.771,0,24106.94,1575.1226,15895.5273,0,0,0
SEx_b2,LinRespSpec,Max,None,740.7709,45.1295,0,1687.4335,24002.2208,7128.4034,0,0,0
SEy_b2,LinRespSpec,Max,None,42.4518,740.771,0,24106.94,1575.1226,14469.3579,0,0,0
TorX+,LinStatic,None,None,0,0,0,0,0,0,0,0,0
TorX-,LinStatic,None,None,0,0,0,0,0,0,0,0,0
TorY+,LinStatic,None,None,0,0,0,0,0,0,0,0,0
TorY-,LinStatic,None,None,0,0,0,0,0,0,0,0,0
ED1_C1_1.4CP,Combination,None,None,0,0,14176.5543,99915.9393,-281010.1735,0,0,0,0
ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,0,0,15750.4406,110212.3393,-312095.8999,0,0,0,0
ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,0,0,14461.3482,101412.0661,-286583.4422,0,0,0,0
ED1_DYN_XP,Combination,Max,None,1037.0793,63.1813,14386.0727,103260.5885,-251490.5545,10696.4384,0,0,0
ED1_DYN_XP,Combination,Min,None,-1037.0793,-63.1813,14386.0727,98535.7747,-318696.7728,-10696.4384,0,0,0
ED1_DYN_XN,Combination,Max,None,1037.0793,63.1813,14386.0727,103260.5885,-251490.5545,10696.4384,0,0,0
ED1_DYN_XN,Combination,Min,None,-1037.0793,-63.1813,14386.0727,98535.7747,-318696.7728,-10696.4384,0,0,0
ED1_DYN_YP,Combination,Max,None,59.4325,1037.0795,14386.0727,134647.8975,-282888.492,22253.7382,0,0,0
ED1_DYN_YP,Combination,Min,None,-59.4325,-1037.0795,14386.0727,67148.4656,-287298.8354,-22253.7382,0,0,0
ED1_DYN_YN,Combination,Max,None,59.4325,1037.0795,14386.0727,134647.8975,-282888.492,22253.7382,0,0,0
ED1_DYN_YN,Combination,Min,None,-59.4325,-1037.0795,14386.0727,67148.4656,-287298.8354,-22253.7382,0,0,0
ED1_DYN_09_XP,Combination,Max,None,1037.0793,63.1813,9113.4992,66594.0821,-147046.2881,10696.4384,0,0,0
ED1_DYN_09_XP,Combination,Min,None,-1037.0793,-63.1813,9113.4992,61869.2684,-214252.5064,-10696.4384,0,0,0
ED1_DYN_09_XN,Combination,Max,None,1037.0793,63.1813,9113.4992,66594.0821,-147046.2881,10696.4384,0,0,0
ED1_DYN_09_XN,Combination,Min,None,-1037.0793,-63.1813,9113.4992,61869.2684,-214252.5064,-10696.4384,0,0,0
ED1_DYN_09_YP,Combination,Max,None,59.4325,1037.0795,9113.4992,97981.3912,-178444.2255,22253.7382,0,0,0
ED1_DYN_09_YP,Combination,Min,None,-59.4325,-1037.0795,9113.4992,30481.9593,-182854.5689,-22253.7382,0,0,0
ED1_DYN_09_YN,Combination,Max,None,59.4325,1037.0795,9113.4992,97981.3912,-178444.2255,22253.7382,0,0,0
ED1_DYN_09_YN,Combination,Min,None,-59.4325,-1037.0795,9113.4992,30481.9593,-182854.5689,-22253.7382,0,0,0
