Story,Diaphragm,MassX,MassY,XCM,YCM,CumMassX,CumMassY,XCCM,YCCM,XCR,YCR
Story20,D1,37.05801,37.05801,19.8056,6.945,37.05801,37.05801,19.8056,6.945,None,None
Story19,D1,54.34264,54.34264,19.82,7.0331,91.40065,91.40065,19.8142,6.9974,None,None
Story18,D1,54.34264,54.34264,19.82,7.0331,145.74328,145.74328,19.8164,7.0107,None,None
Story17,D1,54.34264,54.34264,19.82,7.0331,200.08592,200.08592,19.8174,7.0168,None,None
Story16,D1,54.34264,54.34264,19.82,7.0331,254.42855,254.42855,19.8179,7.0202,None,None
Story15,D1,54.34264,54.34264,19.82,7.0331,308.77119,308.77119,19.8183,7.0225,None,None
Story14,D1,54.34264,54.34264,19.82,7.0331,363.11382,363.11382,19.8186,7.0241,None,None
Story13,D1,54.34264,54.34264,19.82,7.0331,417.45646,417.45646,19.8187,7.0252,None,None
Story12,D1,54.34264,54.34264,19.82,7.0331,471.79909,471.79909,19.8189,7.0261,None,None
Story11,D1,54.34264,54.34264,19.82,7.0331,526.14173,526.14173,19.819,7.0269,None,None
Story10,D1,54.34264,54.34264,19.82,7.0331,580.48436,580.48436,19.8191,7.0274,None,None
Story9,D1,54.34264,54.34264,19.82,7.0331,634.827,634.827,19.8192,7.0279,None,None
Story8,D1,54.34264,54.34264,19.82,7.0331,689.16963,689.16963,19.8193,7.0283,None,None
Story7,D1,54.34264,54.34264,19.82,7.0331,743.51227,743.51227,19.8193,7.0287,None,None
Story6,D1,54.34264,54.34264,19.82,7.0331,797.8549,797.8549,19.8194,7.029,None,None
Story5,D1,54.34264,54.34264,19.82,7.0331,852.19754,852.19754,19.8194,7.0292,None,None
Story4,D1,54.34264,54.34264,19.82,7.0331,906.54018,906.54018,19.8194,7.0295,None,None
Story3,D1,54.34264,54.34264,19.82,7.0331,960.88281,960.88281,19.8195,7.0297,None,None
Story2,D1,54.34264,54.34264,19.82,7.0331,1015.22545,1015.22545,19.8195,7.0298,None,None
Story1,D1,58.14793,58.14793,19.8236,7.0557,1073.37338,1073.37338,19.8197,7.0312,None,None
