Story,Diaphragm,OutputCase,CaseType,StepType,StepNumber,UX,UY,RZ,Point,X,Y,Z
Story20,D1,Dead,LinStatic,None,None,2.5E-05,-0.002123,7.9E-05,1351,19.8056,6.945,52.8
Story20,D1,Live,LinStatic,None,None,0,0,0,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,1,1.3E-05,1E-06,1E-06,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,2,1E-06,1.8E-05,-1.586E-07,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,3,-1.2E-05,2E-06,1E-06,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,4,1.7E-05,3.945E-07,4.163E-07,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,5,-2.981E-07,1.8E-05,-3.031E-08,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,6,-5E-06,2.949E-07,1E-06,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,7,1.6E-05,1.468E-07,3.2E-07,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,8,-7.95E-08,1.7E-05,-2.239E-08,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,9,4E-06,-2.722E-07,-1E-06,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,10,1.5E-05,2.914E-08,2.789E-07,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,11,8.007E-08,1.6E-05,-4.106E-08,1351,19.8056,6.945,52.8
Story20,D1,MODAL,LinModEigen,Mode,12,-3E-06,1E-06,1E-06,1351,19.8056,6.945,52.8
Story20,D1,PP,LinStatic,None,None,2.5E-05,-0.002123,7.9E-05,1351,19.8056,6.945,52.8
Story20,D1,TERP,LinStatic,None,None,-6E-06,-0.000474,1.9E-05,1351,19.8056,6.945,52.8
Story20,D1,TERT,LinStatic,None,None,-1.405E-07,-2.7E-05,1E-06,1351,19.8056,6.945,52.8
Story20,D1,SCP,LinStatic,None,None,-1.1E-05,-0.000847,3.4E-05,1351,19.8056,6.945,52.8
Story20,D1,SCT,LinStatic,None,None,-1.405E-07,-2.7E-05,1E-06,1351,19.8056,6.945,52.8
Story20,D1,SEx,LinRespSpec,Max,None,0.037371,0.002651,0.001917,1351,19.8056,6.945,52.8
Story20,D1,SEy,LinRespSpec,Max,None,0.003036,0.040941,0.000806,1351,19.8056,6.945,52.8
Story20,D1,SEx_b2,LinRespSpec,Max,None,0.037141,0.002618,0.001707,1351,19.8056,6.945,52.8
Story20,D1,SEy_b2,LinRespSpec,Max,None,0.002396,0.040848,0.00022,1351,19.8056,6.945,52.8
Story20,D1,TorX+,LinStatic,None,None,0,0,0,1351,19.8056,6.945,52.8
Story20,D1,TorX-,LinStatic,None,None,0,0,0,1351,19.8056,6.945,52.8
Story20,D1,TorY+,LinStatic,None,None,0,0,0,1351,19.8056,6.945,52.8
Story20,D1,TorY-,LinStatic,None,None,0,0,0,1351,19.8056,6.945,52.8
Story20,D1,ED1_C1_1.4CP,Combination,None,None,2.7E-05,-0.003674,0.000138,1351,19.8056,6.945,52.8
Story20,D1,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,6E-06,-0.004517,0.000173,1351,19.8056,6.945,52.8
Story20,D1,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,1.2E-05,-0.004039,0.000154,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_XP,Combination,Max,None,0.052332,-0.000284,0.002836,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_XP,Combination,Min,None,-0.052308,-0.007707,-0.002532,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_XN,Combination,Max,None,0.052332,-0.000284,0.002836,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_XN,Combination,Min,None,-0.052308,-0.007707,-0.002532,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_YP,Combination,Max,None,0.004263,0.053322,0.001281,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_YP,Combination,Min,None,-0.004239,-0.061313,-0.000977,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_YN,Combination,Max,None,0.004263,0.053322,0.001281,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_YN,Combination,Min,None,-0.004239,-0.061313,-0.000977,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_09_XP,Combination,Max,None,0.052337,0.00135,0.002773,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_09_XP,Combination,Min,None,-0.052302,-0.006073,-0.002595,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_09_XN,Combination,Max,None,0.052337,0.00135,0.002773,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_09_XN,Combination,Min,None,-0.052302,-0.006073,-0.002595,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_09_YP,Combination,Max,None,0.004268,0.054956,0.001218,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_09_YP,Combination,Min,None,-0.004234,-0.059679,-0.00104,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_09_YN,Combination,Max,None,0.004268,0.054956,0.001218,1351,19.8056,6.945,52.8
Story20,D1,ED1_DYN_09_YN,Combination,Min,None,-0.004234,-0.059679,-0.00104,1351,19.8056,6.945,52.8
Story19,D1,Dead,LinStatic,None,None,1.6E-05,-0.001962,7.3E-05,1352,19.82,7.0331,50.2
Story19,D1,Live,LinStatic,None,None,0,0,0,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,1,1.2E-05,1E-06,1E-06,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,2,1E-06,1.7E-05,-1.484E-07,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,3,-1.1E-05,2E-06,1E-06,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,4,1.3E-05,3.064E-07,3.225E-07,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,5,-2.385E-07,1.4E-05,-2.331E-08,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,6,-4E-06,2.488E-07,1E-06,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,7,1E-05,8.77E-08,2.001E-07,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,8,-5.708E-08,1.1E-05,-1.485E-08,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,9,2E-06,-1.771E-07,-1E-06,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,10,7E-06,5.947E-09,1.29E-07,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,11,3.276E-08,8E-06,-2.066E-08,1352,19.82,7.0331,50.2
Story19,D1,MODAL,LinModEigen,Mode,12,-2E-06,2.421E-07,1E-06,1352,19.82,7.0331,50.2
Story19,D1,PP,LinStatic,None,None,1.6E-05,-0.001962,7.3E-05,1352,19.82,7.0331,50.2
Story19,D1,TERP,LinStatic,None,None,-7E-06,-0.000438,1.7E-05,1352,19.82,7.0331,50.2
Story19,D1,TERT,LinStatic,None,None,-1.518E-07,-2.5E-05,1E-06,1352,19.82,7.0331,50.2
Story19,D1,SCP,LinStatic,None,None,-1.3E-05,-0.000782,3.1E-05,1352,19.82,7.0331,50.2
Story19,D1,SCT,LinStatic,None,None,-1.518E-07,-2.5E-05,1E-06,1352,19.82,7.0331,50.2
Story19,D1,SEx,LinRespSpec,Max,None,0.035259,0.002511,0.001798,1352,19.82,7.0331,50.2
Story19,D1,SEy,LinRespSpec,Max,None,0.002834,0.038381,0.000755,1352,19.82,7.0331,50.2
Story19,D1,SEx_b2,LinRespSpec,Max,None,0.03506,0.002483,0.001601,1352,19.82,7.0331,50.2
Story19,D1,SEy_b2,LinRespSpec,Max,None,0.00228,0.038303,0.000206,1352,19.82,7.0331,50.2
Story19,D1,TorX+,LinStatic,None,None,0,0,0,1352,19.82,7.0331,50.2
Story19,D1,TorX-,LinStatic,None,None,0,0,0,1352,19.82,7.0331,50.2
Story19,D1,TorY+,LinStatic,None,None,0,0,0,1352,19.82,7.0331,50.2
Story19,D1,TorY-,LinStatic,None,None,0,0,0,1352,19.82,7.0331,50.2
Story19,D1,ED1_C1_1.4CP,Combination,None,None,1.2E-05,-0.003395,0.000128,1352,19.82,7.0331,50.2
Story19,D1,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,-1.1E-05,-0.004173,0.00016,1352,19.82,7.0331,50.2
Story19,D1,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,-3E-06,-0.003732,0.000142,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_XP,Combination,Max,None,0.04936,-0.000176,0.002658,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_XP,Combination,Min,None,-0.049366,-0.007207,-0.002376,1352,19.82,7.0331,50.2
Story19,D1,ED1_DYN_XN,Combination,Max,None,0.04936,-0.000176,0.002658,1352,19.82,7.0331,50.2
