Story,OutputCase,CaseType,StepType,StepNumber,Item,Max Drift,Avg Drift,Ratio,Label,Max Loc X,Max Loc Y,Max Loc Z
Story20,Dead,LinStatic,None,None,Diaph D1 Y,0.000106,6.3E-05,1.692,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,1,Diaph D1 X,4.533E-07,2.816E-07,1.61,15,27.834,0,52.8
Story20,MODAL,LinModEigen,Mode,2,Diaph D1 Y,1E-06,4.374E-07,1.173,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,3,Diaph D1 X,4.379E-07,2.48E-07,1.766,53,25.115,13.821,52.8
Story20,MODAL,LinModEigen,Mode,3,Diaph D1 Y,1E-06,2.646E-08,20.997,22,38.505,13.821,52.8
Story20,MODAL,LinModEigen,Mode,4,Diaph D1 X,2E-06,1E-06,1.176,15,27.834,0,52.8
Story20,MODAL,LinModEigen,Mode,5,Diaph D1 Y,2E-06,2E-06,1.034,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,6,Diaph D1 X,1E-06,3.899E-07,3.219,53,25.115,13.821,52.8
Story20,MODAL,LinModEigen,Mode,6,Diaph D1 Y,2E-06,4.526E-08,54.273,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,7,Diaph D1 X,3E-06,2E-06,1.139,15,27.834,0,52.8
Story20,MODAL,LinModEigen,Mode,8,Diaph D1 Y,2E-06,2E-06,1.024,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,9,Diaph D1 X,2E-06,4.911E-07,3.769,53,25.115,13.821,52.8
Story20,MODAL,LinModEigen,Mode,9,Diaph D1 Y,4E-06,6.743E-08,57.185,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,10,Diaph D1 X,3E-06,3E-06,1.129,15,27.834,0,52.8
Story20,MODAL,LinModEigen,Mode,11,Diaph D1 Y,3E-06,3E-06,1.048,2,0,6.446,52.8
