Story,Label,UniqueName,OutputCase,CaseType,StepType,StepNumber,DispX,DispY,DriftX,DriftY
Story20,1,112,Dead,LinStatic,None,None,0.000519,-0.003688,1.5E-05,0.000106
Story20,1,112,Live,LinStatic,None,None,0,0,0,0
Story20,1,112,MODAL,LinModEigen,Mode,1,2E-05,-2E-05,4.359E-07,4.768E-07
Story20,1,112,MODAL,LinModEigen,Mode,2,-2.651E-07,2.1E-05,8.193E-09,1E-06
Story20,1,112,MODAL,LinModEigen,Mode,3,-5E-06,-2.1E-05,7.728E-08,1E-06
Story20,1,112,MODAL,LinModEigen,Mode,4,2E-05,-8E-06,2E-06,1E-06
Story20,1,112,MODAL,LinModEigen,Mode,5,-4.874E-07,1.8E-05,3.897E-08,2E-06
Story20,1,112,MODAL,LinModEigen,Mode,6,4E-06,-2.8E-05,3.877E-07,2E-06
Story20,1,112,MODAL,LinModEigen,Mode,7,1.8E-05,-6E-06,3E-06,1E-06
Story20,1,112,MODAL,LinModEigen,Mode,8,-2.193E-07,1.7E-05,2.624E-08,2E-06
Story20,1,112,MODAL,LinModEigen,Mode,9,-5E-06,2.7E-05,1E-06,4E-06
Story20,1,112,MODAL,LinModEigen,Mode,10,1.7E-05,-5E-06,3E-06,1E-06
Story20,1,112,MODAL,LinModEigen,Mode,11,-1.763E-07,1.7E-05,3.009E-08,3E-06
Story20,1,112,MODAL,LinModEigen,Mode,12,5E-06,-2.5E-05,1E-06,5E-06
Story20,1,112,PP,LinStatic,None,None,0.000519,-0.003688,1.5E-05,0.000106
Story20,1,112,TERP,LinStatic,None,None,0.000111,-0.000846,3E-06,2.4E-05
Story20,1,112,TERT,LinStatic,None,None,6E-06,-4.8E-05,2.12E-07,2E-06
Story20,1,112,SCP,LinStatic,None,None,0.000199,-0.001511,6E-06,4.3E-05
Story20,1,112,SCT,LinStatic,None,None,6E-06,-4.8E-05,2.12E-07,2E-06
Story20,1,112,SEx,LinRespSpec,Max,None,0.041408,0.035394,0.000915,0.000853
Story20,1,112,SEy,LinRespSpec,Max,None,0.005339,0.054887,0.000122,0.001331
Story20,1,112,SEx_b2,LinRespSpec,Max,None,0.039864,0.031194,0.000878,0.000751
Story20,1,112,SEy_b2,LinRespSpec,Max,None,0.00104,0.04319,1.9E-05,0.001047
Story20,1,112,TorX+,LinStatic,None,None,0,0,0,0
Story20,1,112,TorX-,LinStatic,None,None,0,0,0,0
Story20,1,112,TorY+,LinStatic,None,None,0,0,0,0
Story20,1,112,TorY-,LinStatic,None,None,0,0,0,0
Story20,1,112,ED1_C1_1.4CP,Combination,None,None,0.000891,-0.006414,2.6E-05,0.000185
Story20,1,112,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,0.001085,-0.007939,3.2E-05,0.000229
Story20,1,112,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,0.000972,-0.007085,2.8E-05,0.000204
Story20,1,112,ED1_DYN_XP,Combination,Max,None,0.058933,0.042543,0.001309,0.000993
Story20,1,112,ED1_DYN_XP,Combination,Min,None,-0.057008,-0.056561,0.001252,0.001396
