Story,Diaphragm,MassX,MassY,MMI,XM,YM
Story20,D1,37.05801,37.05801,5073.5165,19.8056,6.945
Story19,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story18,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story17,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story16,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story15,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story14,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story13,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story12,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story11,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story10,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story9,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story8,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story7,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story6,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story5,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story4,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story3,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story2,D1,54.34264,54.34264,7540.7596,19.82,7.0331
Story1,D1,58.14793,58.14793,8108.2555,19.8236,7.0557
