Story,UX,UY,UZ
Story20,37.05801,37.05801,0
Story19,54.34264,54.34264,0
Story18,54.34264,54.34264,0
Story17,54.34264,54.34264,0
Story16,54.34264,54.34264,0
Story15,54.34264,54.34264,0
Story14,54.34264,54.34264,0
Story13,54.34264,54.34264,0
Story12,54.34264,54.34264,0
Story11,54.34264,54.34264,0
Story10,54.34264,54.34264,0
Story9,54.34264,54.34264,0
Story8,54.34264,54.34264,0
Story7,54.34264,54.34264,0
Story6,54.34264,54.34264,0
Story5,54.34264,54.34264,0
Story4,54.34264,54.34264,0
Story3,54.34264,54.34264,0
Story2,54.34264,54.34264,0
Story1,58.14793,58.14793,0
Base,16.17251,16.17251,0
