Case,Mode,Period,UX,UY,UZ,SumUX,SumUY,SumUZ,RX,RY,RZ,SumRX,SumRY,SumRZ
MODAL,1,1.105,0.3679,0.0009,0,0.3679,0.0009,0,0.0005,0.1903,0.2983,0.0005,0.1903,0.2983
MODAL,2,1.094,0.0011,0.6485,0,0.369,0.6494,0,0.3616,0.0006,0.0066,0.3621,0.1909,0.3049
MODAL,3,1.011,0.3069,0.0069,0,0.6759,0.6563,0,0.0037,0.1571,0.3505,0.3658,0.348,0.6553
MODAL,4,0.244,0.1604,0.0001,0,0.8363,0.6564,0,0.0001,0.2736,0.0152,0.3659,0.6217,0.6706
MODAL,5,0.218,4.689E-05,0.1933,0,0.8363,0.8497,0,0.2755,0.0001,0.0001,0.6415,0.6218,0.6707
MODAL,6,0.206,0.0141,3.702E-05,0,0.8504,0.8498,0,0.0001,0.0232,0.1766,0.6415,0.645,0.8473
MODAL,7,0.102,0.0628,6.791E-06,0,0.9133,0.8498,0,1.301E-05,0.124,0.0036,0.6416,0.769,0.8509
MODAL,8,0.089,1.808E-06,0.067,0,0.9133,0.9168,0,0.1354,3.602E-06,2.041E-05,0.7769,0.769,0.8509
MODAL,9,0.083,0.0036,1.583E-05,0,0.9169,0.9168,0,2.818E-05,0.0073,0.0643,0.777,0.7763,0.9152
MODAL,10,0.059,0.032,5.04E-07,0,0.9489,0.9168,0,9.522E-07,0.08,0.0016,0.777,0.8563,0.9168
MODAL,11,0.052,6.161E-07,0.0329,0,0.9489,0.9497,0,0.0811,1.351E-06,3.082E-05,0.8581,0.8563,0.9169
MODAL,12,0.048,0.0017,3.476E-05,0,0.9506,0.9497,0,0.0001,0.0042,0.0321,0.8582,0.8604,0.9489
MODAL,13,0.04,0.018,0,0,0.9686,0.9497,0,0,0.0477,0.0009,0.8582,0.9081,0.9498
MODAL,14,0.035,2.206E-06,0.0184,0,0.9686,0.9682,0,0.049,5.848E-06,3.062E-05,0.9072,0.9081,0.9499
MODAL,15,0.032,0.0009,3.802E-05,0,0.9696,0.9682,0,0.0001,0.0025,0.018,0.9073,0.9106,0.9679
MODAL,16,0.03,0.0107,0,0,0.9803,0.9682,0,0,0.0304,0.0006,0.9073,0.941,0.9684
MODAL,17,0.026,2.628E-06,0.0112,0,0.9803,0.9794,0,0.0314,7.38E-06,2.633E-05,0.9387,0.9411,0.9685
MODAL,18,0.024,0.0012,3.36E-05,0,0.9814,0.9794,0,0.0001,0.0033,0.0101,0.9388,0.9444,0.9786
