Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Label,X,Y,Z
Story20,Dead,LinStatic,None,None,Y,0.000106,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,1,X,4.533E-07,15,27.834,0,52.8
Story20,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,3,X,4.379E-07,53,25.115,13.821,52.8
Story20,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,52.8
Story20,MODAL,LinModEigen,Mode,4,X,2E-06,15,27.834,0,52.8
Story20,MODAL,LinModEigen,Mode,5,Y,2E-06,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,52.8
Story20,MODAL,LinModEigen,Mode,6,Y,2E-06,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,7,X,3E-06,15,27.834,0,52.8
Story20,MODAL,LinModEigen,Mode,8,Y,2E-06,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,9,X,2E-06,53,25.115,13.821,52.8
Story20,MODAL,LinModEigen,Mode,9,Y,4E-06,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,10,X,3E-06,15,27.834,0,52.8
Story20,MODAL,LinModEigen,Mode,11,Y,3E-06,2,0,6.446,52.8
Story20,MODAL,LinModEigen,Mode,12,X,2E-06,53,25.115,13.821,52.8
Story20,PP,LinStatic,None,None,Y,0.000106,2,0,6.446,52.8
Story20,TERP,LinStatic,None,None,Y,2.4E-05,2,0,6.446,52.8
Story20,TERT,LinStatic,None,None,Y,2E-06,2,0,6.446,52.8
Story20,SCP,LinStatic,None,None,Y,4.3E-05,2,0,6.446,52.8
Story20,SCT,LinStatic,None,None,Y,2E-06,2,0,6.446,52.8
Story20,SEx,LinRespSpec,Max,None,X,0.00093,15,27.834,0,52.8
Story20,SEx,LinRespSpec,Max,None,Y,0.000921,22,38.505,13.821,52.8
Story20,SEy,LinRespSpec,Max,None,Y,0.001331,2,0,6.446,52.8
Story20,SEx_b2,LinRespSpec,Max,None,X,0.00089,15,27.834,0,52.8
Story20,SEx_b2,LinRespSpec,Max,None,Y,0.000827,22,38.505,13.821,52.8
Story20,SEy_b2,LinRespSpec,Max,None,Y,0.001047,2,0,6.446,52.8
Story20,ED1_C1_1.4CP,Combination,None,None,Y,0.000185,2,0,6.446,52.8
Story20,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000229,2,0,6.446,52.8
Story20,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000204,2,0,6.446,52.8
Story20,ED1_DYN_XP,Combination,Max,None,X,0.001334,15,27.834,0,52.8
Story20,ED1_DYN_XP,Combination,Max,None,Y,0.001254,22,38.505,13.821,52.8
Story20,ED1_DYN_XP,Combination,Min,None,X,0.001271,15,27.834,0,52.8
