Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story20,Dead,LinStatic,None,None,Top,195.0869,0,0,0,1307.829,-3856.0727
Story20,Dead,LinStatic,None,None,Bottom,437.6487,0,0,0,3097.665,-8676.9759
Story20,Live,LinStatic,None,None,Top,0,0,0,0,0,0
Story20,Live,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story20,MODAL,LinModEigen,Mode,1,Top,0,-0.0158,-0.0008,-0.078,0,0
Story20,MODAL,LinModEigen,Mode,1,Bottom,0,-0.0158,-0.0008,-0.078,0.0021,-0.0411
Story20,MODAL,LinModEigen,Mode,2,Top,0,-0.0009,-0.0223,-0.4086,0,0
Story20,MODAL,LinModEigen,Mode,2,Bottom,0,-0.0009,-0.0223,-0.4086,0.0579,-0.0023
Story20,MODAL,LinModEigen,Mode,3,Top,0,0.0169,-0.0026,-0.3935,0,0
Story20,MODAL,LinModEigen,Mode,3,Bottom,0,0.0169,-0.0026,-0.3935,0.0068,0.044
Story20,MODAL,LinModEigen,Mode,4,Top,0,-0.4219,-0.0097,1.3401,0,0
Story20,MODAL,LinModEigen,Mode,4,Bottom,0,-0.4219,-0.0097,1.3401,0.0252,-1.0971
Story20,MODAL,LinModEigen,Mode,5,Top,0,0.0092,-0.5411,-10.653,0,0
Story20,MODAL,LinModEigen,Mode,5,Bottom,0,0.0092,-0.5411,-10.653,1.4069,0.0239
Story20,MODAL,LinModEigen,Mode,6,Top,0,0.1666,-0.0102,-8.2013,0,0
Story20,MODAL,LinModEigen,Mode,6,Bottom,0,0.1666,-0.0102,-8.2013,0.0265,0.4331
Story20,MODAL,LinModEigen,Mode,7,Top,0,-2.2934,-0.0206,9.3823,0,0
Story20,MODAL,LinModEigen,Mode,7,Bottom,0,-2.2934,-0.0206,9.3823,0.0535,-5.9629
Story20,MODAL,LinModEigen,Mode,8,Top,0,0.0146,-3.0484,-59.9137,0,0
Story20,MODAL,LinModEigen,Mode,8,Bottom,0,0.0146,-3.0484,-59.9137,7.9259,0.038
Story20,MODAL,LinModEigen,Mode,9,Top,0,-0.769,0.0573,46.3279,0,0
Story20,MODAL,LinModEigen,Mode,9,Bottom,0,-0.769,0.0573,46.3279,-0.1489,-1.9993
Story20,MODAL,LinModEigen,Mode,10,Top,0,-6.51,-0.0123,28.8632,0,0
Story20,MODAL,LinModEigen,Mode,10,Bottom,0,-6.51,-0.0123,28.8632,0.032,-16.9259
Story20,MODAL,LinModEigen,Mode,11,Top,0,-0.044,-8.6274,-167.476,0,0
Story20,MODAL,LinModEigen,Mode,11,Bottom,0,-0.044,-8.6274,-167.476,22.4313,-0.1144
Story20,MODAL,LinModEigen,Mode,12,Top,0,1.9991,-0.3304,-135.6854,0,0
Story20,MODAL,LinModEigen,Mode,12,Bottom,0,1.9991,-0.3304,-135.6854,0.8592,5.1976
Story20,PP,LinStatic,None,None,Top,195.0869,0,0,0,1307.829,-3856.0727
Story20,PP,LinStatic,None,None,Bottom,437.6487,0,0,0,3097.665,-8676.9759
Story20,TERP,LinStatic,None,None,Top,0,0,0,0,0,0
Story20,TERP,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story20,TERT,LinStatic,None,None,Top,47.0472,0,0,0,321.1779,-931.1116
Story20,TERT,LinStatic,None,None,Bottom,47.0472,0,0,0,321.1779,-931.1116
Story20,SCP,LinStatic,None,None,Top,0,0,0,0,0,0
Story20,SCP,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story20,SCT,LinStatic,None,None,Top,47.0472,0,0,0,321.1779,-931.1116
Story20,SCT,LinStatic,None,None,Bottom,47.0472,0,0,0,321.1779,-931.1116
Story20,SEx,LinRespSpec,Max,None,Top,0,78.0733,3.7092,679.1223,0,0
Story20,SEx,LinRespSpec,Max,None,Bottom,0,78.0733,3.7092,679.1223,9.644,202.9905
Story20,SEy,LinRespSpec,Max,None,Top,0,3.4371,77.4739,1669.3465,0,0
Story20,SEy,LinRespSpec,Max,None,Bottom,0,3.4371,77.4739,1669.3465,201.4322,8.9364
Story20,SEx_b2,LinRespSpec,Max,None,Top,0,78.0733,3.7092,625.1698,0,0
Story20,SEx_b2,LinRespSpec,Max,None,Bottom,0,78.0733,3.7092,625.1698,9.644,202.9905
Story20,SEy_b2,LinRespSpec,Max,None,Top,0,3.4371,77.4739,1520.1898,0,0
Story20,SEy_b2,LinRespSpec,Max,None,Bottom,0,3.4371,77.4739,1520.1898,201.4322,8.9364
Story20,TorX+,LinStatic,None,None,Top,0,0,0,0,0,0
Story20,TorX+,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story20,TorX-,LinStatic,None,None,Top,0,0,0,0,0,0
Story20,TorX-,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story20,TorY+,LinStatic,None,None,Top,0,0,0,0,0,0
