story,case,selected_location,Vx_accum_tonf,Vy_accum_tonf,floor_Fx_tonf,floor_Fy_tonf,Mx_overturning_tonf_m,My_overturning_tonf_m,source
Story1,EX,Bottom,790.633300,0.000000,104.383600,0.000000,0.000000,8954.036400,etabs_table
Story2,EX,Bottom,686.249700,0.000000,100.605400,0.000000,0.000000,6186.819900,etabs_table
Story3,EX,Bottom,585.644300,0.000000,115.314400,0.000000,0.000000,4128.070800,etabs_table
Story4,EX,Bottom,470.329900,0.000000,150.280500,0.000000,0.000000,2371.138000,etabs_table
Story5,EX,Bottom,320.049400,0.000000,320.049400,0.000000,0.000000,960.148200,etabs_table
Story1,EY,Bottom,0.000000,790.633300,0.000000,104.383600,8954.036400,0.000000,etabs_table
Story2,EY,Bottom,0.000000,686.249700,0.000000,100.605400,6186.819900,0.000000,etabs_table
Story3,EY,Bottom,0.000000,585.644300,0.000000,115.314400,4128.070800,0.000000,etabs_table
Story4,EY,Bottom,0.000000,470.329900,0.000000,150.280500,2371.138000,0.000000,etabs_table
Story5,EY,Bottom,0.000000,320.049400,0.000000,320.049400,960.148200,0.000000,etabs_table
